Unnamed: 0,City,State_x,Lat,Lng,Airport Name,Airport Address,Airport Rating,Airport Code,Cheapest_Outbound_Airfare,Cheapest_Return_Airfare,Hotel,Rating,State_y,Country,Price,location,name,rating,review_count
3.0,Houston,Texas,29.7604267,-95.3698028,William P. Hobby Airport,"7800 Airport Blvd, Houston",4.0,HOU,180.0,378.0,Club Quarters Hotel in Houston,4.0,TX,us,75.65,Houston,Hermann Park Conservancy,4.5,209.0
3.0,Houston,Texas,29.7604267,-95.3698028,William P. Hobby Airport,"7800 Airport Blvd, Houston",4.0,HOU,180.0,378.0,The Lancaster Hotel,4.0,TX,us,141.35,Houston,Hermann Park Conservancy,4.5,209.0
3.0,Houston,Texas,29.7604267,-95.3698028,William P. Hobby Airport,"7800 Airport Blvd, Houston",4.0,HOU,180.0,378.0,Hyatt Regency Houston,4.0,TX,us,135.15,Houston,Hermann Park Conservancy,4.5,209.0
3.0,Houston,Texas,29.7604267,-95.3698028,William P. Hobby Airport,"7800 Airport Blvd, Houston",4.0,HOU,180.0,378.0,Best Western Plus Downtown Inn & Suites,3.0,TX,us,119.25,Houston,Hermann Park Conservancy,4.5,209.0
3.0,Houston,Texas,29.7604267,-95.3698028,William P. Hobby Airport,"7800 Airport Blvd, Houston",4.0,HOU,180.0,378.0,Holiday Inn Houston Downtown,3.0,TX,us,93.13,Houston,Hermann Park Conservancy,4.5,209.0
3.0,Houston,Texas,29.7604267,-95.3698028,William P. Hobby Airport,"7800 Airport Blvd, Houston",4.0,HOU,180.0,378.0,Le Meridien Houston Downtown,4.0,TX,us,120.3,Houston,Hermann Park Conservancy,4.5,209.0
3.0,Houston,Texas,29.7604267,-95.3698028,William P. Hobby Airport,"7800 Airport Blvd, Houston",4.0,HOU,180.0,378.0,Residence Inn by Marriott Houston Downtown/Convention Center,3.0,TX,us,84.15,Houston,Hermann Park Conservancy,4.5,209.0
4.0,Philadelphia,Pennsylvania,39.9525839,-75.1652215,Philadelphia International Airport,"8000 Essington Ave, Philadelphia",3.3,PHL,93.0,93.0,ROOST Rittenhouse,4.0,PA,us,126.41,Philadelphia,Eastern State Penitentiary Historic Site,4.5,792.0
4.0,Philadelphia,Pennsylvania,39.9525839,-75.1652215,Philadelphia International Airport,"8000 Essington Ave, Philadelphia",3.3,PHL,93.0,93.0,The Windsor Suites,4.0,PA,us,118.15,Philadelphia,Eastern State Penitentiary Historic Site,4.5,792.0
4.0,Philadelphia,Pennsylvania,39.9525839,-75.1652215,Philadelphia International Airport,"8000 Essington Ave, Philadelphia",3.3,PHL,93.0,93.0,Club Quarters Hotel in Philadelphia,4.0,PA,us,80.19,Philadelphia,Eastern State Penitentiary Historic Site,4.5,792.0
4.0,Philadelphia,Pennsylvania,39.9525839,-75.1652215,Philadelphia International Airport,"8000 Essington Ave, Philadelphia",3.3,PHL,93.0,93.0,ROOST Midtown,4.0,PA,us,141.37,Philadelphia,Eastern State Penitentiary Historic Site,4.5,792.0
4.0,Philadelphia,Pennsylvania,39.9525839,-75.1652215,Philadelphia International Airport,"8000 Essington Ave, Philadelphia",3.3,PHL,93.0,93.0,Warwick Hotel Rittenhouse Square,4.0,PA,us,116.71,Philadelphia,Eastern State Penitentiary Historic Site,4.5,792.0
4.0,Philadelphia,Pennsylvania,39.9525839,-75.1652215,Philadelphia International Airport,"8000 Essington Ave, Philadelphia",3.3,PHL,93.0,93.0,The Lighthouse Walk to Independence Hall Sun-drenched Apt,3.5,PA,us,83.68,Philadelphia,Eastern State Penitentiary Historic Site,4.5,792.0
4.0,Philadelphia,Pennsylvania,39.9525839,-75.1652215,Philadelphia International Airport,"8000 Essington Ave, Philadelphia",3.3,PHL,93.0,93.0,Loews Philadelphia Hotel,4.0,PA,us,119.25,Philadelphia,Eastern State Penitentiary Historic Site,4.5,792.0
4.0,Philadelphia,Pennsylvania,39.9525839,-75.1652215,Philadelphia International Airport,"8000 Essington Ave, Philadelphia",3.3,PHL,93.0,93.0,Sonesta Philadelphia Rittenhouse Square,4.0,PA,us,122.18,Philadelphia,Eastern State Penitentiary Historic Site,4.5,792.0
5.0,Phoenix,Arizona,33.4483771,-112.0740373,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",3.9,PHX,112.0,102.0,Kimpton Hotel Palomar Phoenix Cityscape,4.0,AZ,us,128.55,Phoenix,Western Destinations,5.0,50.0
5.0,Phoenix,Arizona,33.4483771,-112.0740373,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",3.9,PHX,112.0,102.0,Hyatt Regency Phoenix,4.0,AZ,us,169.15,Phoenix,Western Destinations,5.0,50.0
5.0,Phoenix,Arizona,33.4483771,-112.0740373,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",3.9,PHX,112.0,102.0,Hotel San Carlos - Downtown Convention Center,3.0,AZ,us,132.3,Phoenix,Western Destinations,5.0,50.0
5.0,Phoenix,Arizona,33.4483771,-112.0740373,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",3.9,PHX,112.0,102.0,Hampton Inn & Suites Phoenix Downtown,3.0,AZ,us,95.2,Phoenix,Western Destinations,5.0,50.0
5.0,Phoenix,Arizona,33.4483771,-112.0740373,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",3.9,PHX,112.0,102.0,Best Western Downtown Phoenix,2.5,AZ,us,151.68,Phoenix,Western Destinations,5.0,50.0
5.0,Phoenix,Arizona,33.4483771,-112.0740373,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",3.9,PHX,112.0,102.0,FOUNDRE Phoenix,4.0,AZ,us,206.1,Phoenix,Western Destinations,5.0,50.0
5.0,Phoenix,Arizona,33.4483771,-112.0740373,Phoenix Sky Harbor International Airport,"3400 E Sky Harbor Blvd, Phoenix",3.9,PHX,112.0,102.0,Travelodge by Wyndham Phoenix Downtown,2.0,AZ,us,77.28,Phoenix,Western Destinations,5.0,50.0
6.0,San Antonio,Texas,29.4241219,-98.4936282,San Antonio International Airport,"9800 Airport Blvd, San Antonio",4.0,SAT,186.0,112.0,Wyndham San Antonio River Walk,4.0,TX,us,101.91,San Antonio,Morgan's Wonderland,5.0,96.0
6.0,San Antonio,Texas,29.4241219,-98.4936282,San Antonio International Airport,"9800 Airport Blvd, San Antonio",4.0,SAT,186.0,112.0,La Quinta Inn & Suites by Wyndham San Antonio Downtown,2.5,TX,us,104.5,San Antonio,Morgan's Wonderland,5.0,96.0
6.0,San Antonio,Texas,29.4241219,-98.4936282,San Antonio International Airport,"9800 Airport Blvd, San Antonio",4.0,SAT,186.0,112.0,Best Western Premier Historic Travelers Hotel Alamo Riverwalk,3.0,TX,us,91.26,San Antonio,Morgan's Wonderland,5.0,96.0
6.0,San Antonio,Texas,29.4241219,-98.4936282,San Antonio International Airport,"9800 Airport Blvd, San Antonio",4.0,SAT,186.0,112.0,Riverwalk Plaza,4.0,TX,us,147.6,San Antonio,Morgan's Wonderland,5.0,96.0
6.0,San Antonio,Texas,29.4241219,-98.4936282,San Antonio International Airport,"9800 Airport Blvd, San Antonio",4.0,SAT,186.0,112.0,Menger Hotel,3.5,TX,us,130.95,San Antonio,Morgan's Wonderland,5.0,96.0
6.0,San Antonio,Texas,29.4241219,-98.4936282,San Antonio International Airport,"9800 Airport Blvd, San Antonio",4.0,SAT,186.0,112.0,Days Inn by Wyndham San Antonio Alamo/Riverwalk,2.0,TX,us,53.2,San Antonio,Morgan's Wonderland,5.0,96.0
